distance,index
"[485.  484.3 492.8 497.9 448.4 431.2 439.7 439.7 388.2 492.8 431.3 430.2
 321.8 171.1 224.9 171.1 468.   34.6 346.5 215.4   0.  315.2 394.1]","[663 138 290 363 496 187 489 607 231 653  33 174 634 480 394 583  97 211
 402 670 608 525 198]"
"[242.2 211.2 161.1 192.2 451.2 228.1 197.4 238.8 297.2 164.  334.9 123.8
  96.9 348.8 122.9  81.5 275.7 283.2 179.5  96.5 243.  243.   18.9   0.
 177.4 177.4  95.6 343.9 330.7 496.8 456.2 110.1 261.  208.8 261.  404.8
 431.2 491.7]","[743 611 616  19 534 613  85 541 267  91 240 663 138 246 145 290 642 106
 454 363 113 582 496 187 489 607 231 189 653  33 174 634 480 394 583 211
 608 198]"
"[262.  306.  250.2 349.8 447.4 135.1 320.7 301.6 301.3 297.8 210.  367.3
   0.  470.9 119.2 229.8 278.6]",[694 193 731 577 529 513  25 588 559 603 281 600 717 724 292 203 704]
[72.1  0. ],[532 293]
"[249.4 255.7 406.8 429.  269.9 249.6 279.4 409.8   0.  113.7 248.9 190.9
 419.4  72.2  79.3 293.2 188.  146.1 202.1 414.4 260.1 421.5 316.4 223.1]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90  57 104  45
  12 712 593 230 330 342]"
"[494.3 430.6 373.4 373.4  41.1  78.1 492.  434.2 432.1 434.2   0.  481.7
 392.8 468.   73.9  58.3 481.2 481.2]",[138 454 113 582  33 174 634 480 394 583  97 211 402 608 198  44 609 645]
[387.    0.  222.6 446. ],[703 516  94  16]
[494.3 464.4 423.1 242.5 475.9   0.  464.4  15.2],[221 482 319 431 396 156 442 277]
[69.6  0. ],[383 395]
"[399.   80.4 169.2 425.6 493.1  72.4  74.9 331.9  85.2 100.6 278.6 394.
 159.4  49.3   0. ]",[694 731 513 564 719 588 603 314 281 600 717 464 292 203 704]
[  0.  214.6 238.1 397. ],[162 580 505 509]
"[430.3 163.7 306.9 163.5 438.4 243.7 442.1 182.1 359.9 158.6 344.4 189.1
  70.8 172.2   0.    0.  250.4 243.  420.1 420.1 330.6 347.6 299.7 283.8
 362.1 316.1 362.1 373.4 499.8 362.2 342.9]","[743 611 616  19 613  85 541  91 663 138 145 290 454 363 113 582 496 187
 489 607 231  33 174 634 480 394 583  97 211 198  44]"
"[167.8 103.4 223.4 223.4 223.3 223.4 195.8  49.8 182.  432.7 459.2 384.7
  53.8  38.6 398.1 454.6  27.4  21.6   0.  246.2  23.4]","[746 336 612 671 226 710  26 492 160 374  54 335 451 328 695 713 161 707
 688 685 152]"
[247.1 154.7   0.  460.9],[736 655  17 549]
[383.2 114.2   0.  120. ],[ 88 652 738 660]
[240.7   0.   75.7  83.2 162.5 188.9],[633 247  63 295 566  24]
"[471.  389.9 358.3 382.2 170.6 366.2 313.8 303.6 302.7 413.7 245.6   0.
 491.4]",[194 181 332 648 473 111 124 322 589 118 740 392  98]
"[469.6 222.5 450.8 256.7 235.2 342.8 178.2 265.5  38.2 191.2  78.   73.8
 139.4  72.8  99.8 178.1 230.3 174.6 435.5 249.7   0.  181.9 204.9 484.
 319.7 222.5]","[430 522 702 515 239 677 346  13 333 693 349 172  77 439 300 563 278 476
 625 519 479 742 495  68 628 730]"
[  0.   52.3  64.6  54.9 348.2  55.7],[517 384 498 279 209 425]
[392.7 373.2 277.3 205.4 225.  355.9   0.   55.3 332.8],[193 577 529  25 559 554 686 724 659]
"[416.  303.5 326.1 450.5 318.8  30.4 267.3   0.  306.  234.7 144.7 145.4
 214.4 327.4 262.9 333.6 330.8 319.3 297.7]","[ 39 665 506 456 474 643  83 222  51  92 732  43 575 307 196 157 675  82
  74]"
[287.8   0.   22.3],[594 673 365]
"[432.7 339.6   0.  275.6 191.6 334.7 185.6 133.3 414.9  50.7 219.6 474.5
 122.3 495.1 332.5 337.3]",[353 224 175 317  71 555 387 417 468 647   1 610 137 179 100 171]
"[137.8 343.6 293.5 327.7 260.8 343.9 337.1 311.8 146.1 212.  308.5 140.3
 332.5  75.3  80.5 436.6 211.5   0.   68.2 485.7 299.5 114.  275.4 170.4
 446.5  77.3]","[164 205 262 407 287 725  95 216 416 148 169 168 165 340  90  57 104  45
  12 521 712 593 230 330 581 342]"
[116.3 248.5  56.1 298.1 106.8   0.  305.2  30.8  76.9 463.2],[185 488 177 715 477 418 520 552 735 339]
[0.],[62]
